Name,FIPS,"% Educational Attainment | Bachelor's degree or higher, 2021 [Estimated]","Population Density (per square mile), 2021 [Estimated]","% Household Size | 1-person household, 2021 [Estimated]","% Household Size | 2-person household, 2021 [Estimated]","% Household Size | 3-person household, 2021 [Estimated]","% Household Size | 4-person household, 2021 [Estimated]","% Household Size | 5-person household, 2021 [Estimated]","% Household Size | 6-person household, 2021 [Estimated]","# Gini Index Of Income Inequality [B19083] | Gini Index, 2019","% Hispanic or Latino | Hispanic or Latino, 2021 [Estimated]"
"Baraga County, MI",26013,15.8833,9.2439,28.848,43.6369,11.9327,5.4586,6.3789,1.2377,0.4566,1.8784
"Barber County, KS",20007,20.2639,4.0712,34.8874,33.8921,9.7433,8.3814,8.4861,0.5762,0.4708,5.848
"Barbour County, AL",1005,11.1249,27.9455,31.5214,30.9317,15.3962,11.8795,6.9154,1.8656,0.4883,5.0987
"Barbour County, WV",54001,18.116,48.7071,29.666,35.4428,14.5418,12.9176,4.643,1.2718,0.477,0.8367
"Barceloneta Municipio, PR",72017,22.9027,1271.4086,25.8581,36.6968,21.329,9.7032,4.7355,1.071,0.496,99.4194
"Barnes County, ND",38003,30.5246,7.0644,38.669,34.6131,10.0807,7.3243,5.6113,2.3627,0.4671,2.3821
"Barnstable County, MA",25001,43.9023,539.5242,30.1224,41.9306,12.2003,8.4488,3.8068,1.6738,0.4542,3.8079
"Barnwell County, SC",45011,12.6186,38.4314,33.3094,31.3008,19.1774,7.7355,4.89,0.9565,0.4741,2.4721
"Barranquitas Municipio, PR",72019,18.8953,808.7248,21.4133,33.1591,22.7791,10.9976,7.696,2.1734,0.4964,99.8484
"Barren County, KY",21009,16.4183,90.9853,25.9114,36.9252,15.9519,11.4784,5.5218,2.0967,0.4392,3.9898
"Barron County, WI",55005,21.9286,52.0612,28.7408,40.0413,12.8831,8.9557,4.896,1.9637,0.4386,3.1248
"Barrow County, GA",13013,19.2229,510.8659,20.5776,31.2206,15.8969,16.4993,9.0401,3.8848,0.3931,11.5087
"Barry County, MI",26015,21.5155,110.5489,22.5426,39.2581,12.8268,13.4213,6.6333,2.5124,0.4094,3.3119
"Barry County, MO",29009,14.9453,45.4031,24.3967,37.6208,13.0101,13.4381,6.125,2.4721,0.4814,10.0235
"Bartholomew County, IN",18005,34.4301,206.6271,27.4628,37.6272,13.2478,13.3135,3.9537,2.3415,0.4298,7.1223
"Barton County, KS",20009,21.1485,29.1078,29.5452,39.7992,10.8526,12.5036,3.6207,1.4097,0.4369,15.511
"Barton County, MO",29011,21.0645,19.5615,29.2251,38.3965,9.8928,11.9744,3.8335,2.4732,0.4761,2.3055
"Bartow County, GA",13015,19.3364,231.9109,22.1277,32.5545,18.4806,14.0556,7.2158,3.1771,0.4388,9.71
"Bastrop County, TX",48021,21.7275,99.4174,22.5601,31.3914,15.5022,14.266,9.9412,2.8595,0.432,39.0949
"Bates County, MO",29013,17.3784,19.2579,23.413,36.9006,17.0498,8.9816,7.17,2.9533,0.4564,2.6562
"Bath County, KY",21011,14.0108,44.9933,18.4258,39.9125,15.2654,16.5971,4.9891,1.4113,0.4284,1.8654
"Bath County, VA",51017,15.0032,7.8855,24.1712,52.6823,6.0277,8.0772,4.34,2.7728,0.3879,5.2241
"Baxter County, AR",5005,17.8492,74.975,29.9653,42.5222,10.8133,9.3459,4.2831,2.0414,0.4517,2.895
"Bay County, FL",12005,23.8493,246.2325,28.6479,36.6428,15.6751,10.6088,5.1726,2.0025,0.4427,7.1535
"Bay County, MI",26017,19.6546,232.4637,30.5426,35.7146,14.8429,11.0081,4.1839,2.1599,0.4349,6.1213
"Bayamon Municipio, PR",72021,28.3902,3807.7806,28.0219,32.3459,19.6035,12.4205,4.8246,1.351,0.4931,98.6546
"Bayfield County, WI",55007,31.5158,10.124,27.592,44.8018,11.3556,9.6629,2.7366,1.8761,0.42,2.3927
"Baylor County, TX",48023,16.8026,4.0889,25.5848,35.7456,13.8158,13.231,3.5088,7.0175,0.4084,10.1494
"Beadle County, SD",46005,19.4144,14.6746,35.1231,29.5443,13.9209,9.7826,5.9586,2.6454,0.4188,12.4574
"Bear Lake County, ID",16007,19.1398,6.1667,20.7312,40.7977,12.796,7.2705,9.14,5.2347,0.4051,4.7698
"Beaufort County, NC",37013,20.9601,56.4096,30.174,38.4485,14.55,9.6818,4.6146,1.1586,0.4826,9.1568
"Beaufort County, SC",45013,41.0419,336.0947,26.0013,45.6792,12.783,8.6173,4.2143,1.3827,0.4765,11.3452
"Beauregard Parish, LA",22011,19.0993,32.2993,29.2611,34.7826,10.8954,12.8073,7.7434,2.9822,0.4441,4.4968
"Beaver County, OK",40007,19.0368,2.9209,19.9393,45.1923,12.5506,7.6923,7.3887,3.4413,0.4062,24.6935
"Beaver County, PA",42007,25.0185,377.0097,30.7545,35.3064,14.7483,11.3056,4.7833,1.544,0.425,1.9458
"Beaver County, UT",49001,21.3364,2.5173,26.4961,33.4779,4.2064,14.484,10.2775,7.3721,0.3921,12.2731
"Beaverhead County, MT",30001,38.0336,1.7113,38.2908,40.7908,9.5153,5.102,3.0867,0.8673,0.4927,5.4191
"Becker County, MN",27005,25.6454,26.1785,27.9171,38.9881,12.3175,9.8982,5.8711,2.0136,0.4489,2.3005
